,id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,backdrop_path,genre_names,year,profit
0,760161,Orphan: First Kill,Orphan: First Kill,en,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",There's always been something wrong with Esther.,2022-07-27,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,5088.584,902,6.9,0,9572765,99,Released,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,Horror,2022,9572765
5,882598,Smile,Smile,en,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Once you see it, it’s too late.",2022-09-23,/hiaeZKzwsk4y4atFhmncO5KRxeT.jpg,1863.628,114,6.8,17000000,45000000,115,Released,/mVNPfpydornVe4H4UCIk7WevWjf.jpg,Horror,2022,28000000
8,756999,The Black Phone,The Black Phone,en,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",Never talk to strangers.,2022-06-22,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,1071.398,2736,7.9,18800000,161000000,103,Released,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,Horror,2022,142200000
13,717728,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",Evil Rides Again,2022-09-15,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,821.605,125,5.8,20000000,2892594,88,Released,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,Horror,2022,-17107406
16,762504,Nope,Nope,en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",What’s a bad miracle?,2022-07-20,/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,733.112,1684,7.0,68000000,170800000,130,Released,/xVbppM1xgbskOKgOuV8fbWBWHtt.jpg,Horror,2022,102800000
28,760104,X,X,en,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Dying to show you a good time.,2022-03-17,/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg,543.67,1035,6.8,10000000,14257609,106,Released,/21ldFAokKVjwzi1SHXoPb5gc7md.jpg,Horror,2022,4257609
31,836225,The Exorcism of God,The Exorcism of God,en,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",God and the Devil cannot exist in the same body.,2022-03-11,/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg,537.252,637,7.3,1500000,0,98,Released,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,Horror,2022,-1500000
32,801071,The Jack in the Box: Awakening,The Jack in the Box: Awakening,en,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",Once you open the box... you can't escape it.,2022-02-24,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,527.579,157,6.4,0,0,89,Released,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,Horror,2022,0
36,758724,The Cellar,The Cellar,en,"When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",An ancient evil has awoken.,2022-03-25,/rtfGeS5WMXA6PtikIYUmYTSbVdg.jpg,513.757,257,6.6,0,0,94,Released,/qViFGWCHaSmW4gP00RGh3xjMjsP.jpg,Horror,2022,0
48,629015,Shut In,Shut In,en,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,The will to live is found within.,2022-03-24,/b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,399.436,224,7.2,0,304106,90,Released,/ufagam4FwlIcgPqJlr21EshNkNd.jpg,Horror,2022,304106
